htn	hypertension
abbr0071	clinical expansion term 0071
abbr0072	clinical expansion term 0072
abbr0073	clinical expansion term 0073
abbr0074	clinical expansion term 0074
abbr0075	clinical expansion term 0075
abbr0076	clinical expansion term 0076
abbr0077	clinical expansion term 0077
abbr0078	clinical expansion term 0078
abbr0079	clinical expansion term 0079
abbr0080	clinical expansion term 0080
abbr0081	clinical expansion term 0081
abbr0082	clinical expansion term 0082
abbr0083	clinical expansion term 0083
abbr0084	clinical expansion term 0084
abbr0085	clinical expansion term 0085
abbr0086	clinical expansion term 0086
abbr0087	clinical expansion term 0087
abbr0088	clinical expansion term 0088
abbr0089	clinical expansion term 0089
abbr0090	clinical expansion term 0090
abbr0091	clinical expansion term 0091
abbr0092	clinical expansion term 0092
abbr0093	clinical expansion term 0093
abbr0094	clinical expansion term 0094
abbr0095	clinical expansion term 0095
abbr0096	clinical expansion term 0096
abbr0097	clinical expansion term 0097
abbr0098	clinical expansion term 0098
abbr0099	clinical expansion term 0099
abbr0100	clinical expansion term 0100
abbr0101	clinical expansion term 0101
abbr0102	clinical expansion term 0102
abbr0103	clinical expansion term 0103
abbr0104	clinical expansion term 0104
abbr0105	clinical expansion term 0105
abbr0106	clinical expansion term 0106
abbr0107	clinical expansion term 0107
abbr0108	clinical expansion term 0108
abbr0109	clinical expansion term 0109
abbr0110	clinical expansion term 0110
abbr0111	clinical expansion term 0111
abbr0112	clinical expansion term 0112
abbr0113	clinical expansion term 0113
abbr0114	clinical expansion term 0114
abbr0115	clinical expansion term 0115
abbr0116	clinical expansion term 0116
abbr0117	clinical expansion term 0117
abbr0118	clinical expansion term 0118
abbr0119	clinical expansion term 0119
abbr0120	clinical expansion term 0120
abbr0121	clinical expansion term 0121
abbr0122	clinical expansion term 0122
abbr0123	clinical expansion term 0123
abbr0124	clinical expansion term 0124
abbr0125	clinical expansion term 0125
abbr0126	clinical expansion term 0126
abbr0127	clinical expansion term 0127
abbr0128	clinical expansion term 0128
abbr0129	clinical expansion term 0129
abbr0130	clinical expansion term 0130
abbr0131	clinical expansion term 0131
abbr0132	clinical expansion term 0132
abbr0133	clinical expansion term 0133
abbr0134	clinical expansion term 0134
abbr0135	clinical expansion term 0135
abbr0136	clinical expansion term 0136
abbr0137	clinical expansion term 0137
abbr0138	clinical expansion term 0138
abbr0139	clinical expansion term 0139
abbr0140	clinical expansion term 0140
abbr0141	clinical expansion term 0141
abbr0142	clinical expansion term 0142
abbr0143	clinical expansion term 0143
abbr0144	clinical expansion term 0144
abbr0145	clinical expansion term 0145
abbr0146	clinical expansion term 0146
abbr0147	clinical expansion term 0147
abbr0148	clinical expansion term 0148
abbr0149	clinical expansion term 0149
abbr0150	clinical expansion term 0150
abbr0151	clinical expansion term 0151
abbr0152	clinical expansion term 0152
abbr0153	clinical expansion term 0153
abbr0154	clinical expansion term 0154
abbr0155	clinical expansion term 0155
abbr0156	clinical expansion term 0156
abbr0157	clinical expansion term 0157
abbr0158	clinical expansion term 0158
abbr0159	clinical expansion term 0159
abbr0160	clinical expansion term 0160
abbr0161	clinical expansion term 0161
abbr0162	clinical expansion term 0162
abbr0163	clinical expansion term 0163
abbr0164	clinical expansion term 0164
abbr0165	clinical expansion term 0165
abbr0166	clinical expansion term 0166
abbr0167	clinical expansion term 0167
abbr0168	clinical expansion term 0168
abbr0169	clinical expansion term 0169
abbr0170	clinical expansion term 0170
abbr0171	clinical expansion term 0171
abbr0172	clinical expansion term 0172
abbr0173	clinical expansion term 0173
abbr0174	clinical expansion term 0174
abbr0175	clinical expansion term 0175
abbr0176	clinical expansion term 0176
abbr0177	clinical expansion term 0177
abbr0178	clinical expansion term 0178
abbr0179	clinical expansion term 0179
abbr0180	clinical expansion term 0180
abbr0181	clinical expansion term 0181
abbr0182	clinical expansion term 0182
abbr0183	clinical expansion term 0183
abbr0184	clinical expansion term 0184
abbr0185	clinical expansion term 0185
abbr0186	clinical expansion term 0186
abbr0187	clinical expansion term 0187
abbr0188	clinical expansion term 0188
abbr0189	clinical expansion term 0189
abbr0190	clinical expansion term 0190
abbr0191	clinical expansion term 0191
abbr0192	clinical expansion term 0192
abbr0193	clinical expansion term 0193
abbr0194	clinical expansion term 0194
abbr0195	clinical expansion term 0195
abbr0196	clinical expansion term 0196
abbr0197	clinical expansion term 0197
abbr0198	clinical expansion term 0198
abbr0199	clinical expansion term 0199
abbr0200	clinical expansion term 0200
abbr0201	clinical expansion term 0201
abbr0202	clinical expansion term 0202
abbr0203	clinical expansion term 0203
abbr0204	clinical expansion term 0204
abbr0205	clinical expansion term 0205
abbr0206	clinical expansion term 0206
abbr0207	clinical expansion term 0207
abbr0208	clinical expansion term 0208
abbr0209	clinical expansion term 0209
abbr0210	clinical expansion term 0210
abbr0211	clinical expansion term 0211
abbr0212	clinical expansion term 0212
abbr0213	clinical expansion term 0213
abbr0214	clinical expansion term 0214
abbr0215	clinical expansion term 0215
abbr0216	clinical expansion term 0216
abbr0217	clinical expansion term 0217
abbr0218	clinical expansion term 0218
abbr0219	clinical expansion term 0219
abbr0220	clinical expansion term 0220
abbr0221	clinical expansion term 0221
abbr0222	clinical expansion term 0222
abbr0223	clinical expansion term 0223
abbr0224	clinical expansion term 0224
abbr0225	clinical expansion term 0225
abbr0226	clinical expansion term 0226
abbr0227	clinical expansion term 0227
abbr0228	clinical expansion term 0228
abbr0229	clinical expansion term 0229
abbr0230	clinical expansion term 0230
abbr0231	clinical expansion term 0231
abbr0232	clinical expansion term 0232
abbr0233	clinical expansion term 0233
abbr0234	clinical expansion term 0234
abbr0235	clinical expansion term 0235
abbr0236	clinical expansion term 0236
abbr0237	clinical expansion term 0237
abbr0238	clinical expansion term 0238
abbr0239	clinical expansion term 0239
abbr0240	clinical expansion term 0240
abbr0241	clinical expansion term 0241
abbr0242	clinical expansion term 0242
abbr0243	clinical expansion term 0243
abbr0244	clinical expansion term 0244
abbr0245	clinical expansion term 0245
abbr0246	clinical expansion term 0246
abbr0247	clinical expansion term 0247
abbr0248	clinical expansion term 0248
abbr0249	clinical expansion term 0249
abbr0250	clinical expansion term 0250
abbr0251	clinical expansion term 0251
abbr0252	clinical expansion term 0252
abbr0253	clinical expansion term 0253
abbr0254	clinical expansion term 0254
abbr0255	clinical expansion term 0255
abbr0256	clinical expansion term 0256
abbr0257	clinical expansion term 0257
abbr0258	clinical expansion term 0258
abbr0259	clinical expansion term 0259
abbr0260	clinical expansion term 0260
abbr0261	clinical expansion term 0261
abbr0262	clinical expansion term 0262
abbr0263	clinical expansion term 0263
abbr0264	clinical expansion term 0264
abbr0265	clinical expansion term 0265
abbr0266	clinical expansion term 0266
abbr0267	clinical expansion term 0267
abbr0268	clinical expansion term 0268
abbr0269	clinical expansion term 0269
abbr0270	clinical expansion term 0270
abbr0271	clinical expansion term 0271
abbr0272	clinical expansion term 0272
abbr0273	clinical expansion term 0273
abbr0274	clinical expansion term 0274
abbr0275	clinical expansion term 0275
abbr0276	clinical expansion term 0276
abbr0277	clinical expansion term 0277
abbr0278	clinical expansion term 0278
abbr0279	clinical expansion term 0279
abbr0280	clinical expansion term 0280
abbr0281	clinical expansion term 0281
abbr0282	clinical expansion term 0282
abbr0283	clinical expansion term 0283
abbr0284	clinical expansion term 0284
abbr0285	clinical expansion term 0285
abbr0286	clinical expansion term 0286
abbr0287	clinical expansion term 0287
abbr0288	clinical expansion term 0288
abbr0289	clinical expansion term 0289
abbr0290	clinical expansion term 0290
abbr0291	clinical expansion term 0291
abbr0292	clinical expansion term 0292
abbr0293	clinical expansion term 0293
abbr0294	clinical expansion term 0294
abbr0295	clinical expansion term 0295
abbr0296	clinical expansion term 0296
abbr0297	clinical expansion term 0297
abbr0298	clinical expansion term 0298
abbr0299	clinical expansion term 0299
abbr0300	clinical expansion term 0300
abbr0301	clinical expansion term 0301
abbr0302	clinical expansion term 0302
abbr0303	clinical expansion term 0303
abbr0304	clinical expansion term 0304
abbr0305	clinical expansion term 0305
abbr0306	clinical expansion term 0306
abbr0307	clinical expansion term 0307
abbr0308	clinical expansion term 0308
abbr0309	clinical expansion term 0309
abbr0310	clinical expansion term 0310
abbr0311	clinical expansion term 0311
abbr0312	clinical expansion term 0312
abbr0313	clinical expansion term 0313
abbr0314	clinical expansion term 0314
abbr0315	clinical expansion term 0315
abbr0316	clinical expansion term 0316
abbr0317	clinical expansion term 0317
abbr0318	clinical expansion term 0318
abbr0319	clinical expansion term 0319
abbr0320	clinical expansion term 0320
abbr0321	clinical expansion term 0321
abbr0322	clinical expansion term 0322
abbr0323	clinical expansion term 0323
abbr0324	clinical expansion term 0324
abbr0325	clinical expansion term 0325
abbr0326	clinical expansion term 0326
abbr0327	clinical expansion term 0327
abbr0328	clinical expansion term 0328
abbr0329	clinical expansion term 0329
abbr0330	clinical expansion term 0330
abbr0331	clinical expansion term 0331
abbr0332	clinical expansion term 0332
abbr0333	clinical expansion term 0333
abbr0334	clinical expansion term 0334
abbr0335	clinical expansion term 0335
abbr0336	clinical expansion term 0336
abbr0337	clinical expansion term 0337
abbr0338	clinical expansion term 0338
abbr0339	clinical expansion term 0339
abbr0340	clinical expansion term 0340
abbr0341	clinical expansion term 0341
abbr0342	clinical expansion term 0342
abbr0343	clinical expansion term 0343
abbr0344	clinical expansion term 0344
abbr0345	clinical expansion term 0345
abbr0346	clinical expansion term 0346
abbr0347	clinical expansion term 0347
abbr0348	clinical expansion term 0348
abbr0349	clinical expansion term 0349
abbr0350	clinical expansion term 0350
abbr0351	clinical expansion term 0351
abbr0352	clinical expansion term 0352
abbr0353	clinical expansion term 0353
abbr0354	clinical expansion term 0354
abbr0355	clinical expansion term 0355
abbr0356	clinical expansion term 0356
abbr0357	clinical expansion term 0357
abbr0358	clinical expansion term 0358
abbr0359	clinical expansion term 0359
abbr0360	clinical expansion term 0360
abbr0361	clinical expansion term 0361
abbr0362	clinical expansion term 0362
abbr0363	clinical expansion term 0363
abbr0364	clinical expansion term 0364
abbr0365	clinical expansion term 0365
abbr0366	clinical expansion term 0366
abbr0367	clinical expansion term 0367
abbr0368	clinical expansion term 0368
abbr0369	clinical expansion term 0369
abbr0370	clinical expansion term 0370
abbr0371	clinical expansion term 0371
abbr0372	clinical expansion term 0372
abbr0373	clinical expansion term 0373
abbr0374	clinical expansion term 0374
abbr0375	clinical expansion term 0375
abbr0376	clinical expansion term 0376
abbr0377	clinical expansion term 0377
abbr0378	clinical expansion term 0378
abbr0379	clinical expansion term 0379
abbr0380	clinical expansion term 0380
abbr0381	clinical expansion term 0381
abbr0382	clinical expansion term 0382
abbr0383	clinical expansion term 0383
abbr0384	clinical expansion term 0384
abbr0385	clinical expansion term 0385
abbr0386	clinical expansion term 0386
abbr0387	clinical expansion term 0387
abbr0388	clinical expansion term 0388
abbr0389	clinical expansion term 0389
abbr0390	clinical expansion term 0390
abbr0391	clinical expansion term 0391
abbr0392	clinical expansion term 0392
abbr0393	clinical expansion term 0393
abbr0394	clinical expansion term 0394
abbr0395	clinical expansion term 0395
abbr0396	clinical expansion term 0396
abbr0397	clinical expansion term 0397
abbr0398	clinical expansion term 0398
abbr0399	clinical expansion term 0399
abbr0400	clinical expansion term 0400
abbr0401	clinical expansion term 0401
abbr0402	clinical expansion term 0402
abbr0403	clinical expansion term 0403
abbr0404	clinical expansion term 0404
abbr0405	clinical expansion term 0405
abbr0406	clinical expansion term 0406
abbr0407	clinical expansion term 0407
abbr0408	clinical expansion term 0408
abbr0409	clinical expansion term 0409
abbr0410	clinical expansion term 0410
abbr0411	clinical expansion term 0411
abbr0412	clinical expansion term 0412
abbr0413	clinical expansion term 0413
abbr0414	clinical expansion term 0414
abbr0415	clinical expansion term 0415
abbr0416	clinical expansion term 0416
abbr0417	clinical expansion term 0417
abbr0418	clinical expansion term 0418
abbr0419	clinical expansion term 0419
abbr0420	clinical expansion term 0420
abbr0421	clinical expansion term 0421
abbr0422	clinical expansion term 0422
abbr0423	clinical expansion term 0423
abbr0424	clinical expansion term 0424
abbr0425	clinical expansion term 0425
abbr0426	clinical expansion term 0426
abbr0427	clinical expansion term 0427
abbr0428	clinical expansion term 0428
abbr0429	clinical expansion term 0429
abbr0430	clinical expansion term 0430
abbr0431	clinical expansion term 0431
abbr0432	clinical expansion term 0432
abbr0433	clinical expansion term 0433
abbr0434	clinical expansion term 0434
abbr0435	clinical expansion term 0435
abbr0436	clinical expansion term 0436
abbr0437	clinical expansion term 0437
abbr0438	clinical expansion term 0438
abbr0439	clinical expansion term 0439
abbr0440	clinical expansion term 0440
abbr0441	clinical expansion term 0441
abbr0442	clinical expansion term 0442
abbr0443	clinical expansion term 0443
abbr0444	clinical expansion term 0444
abbr0445	clinical expansion term 0445
abbr0446	clinical expansion term 0446
abbr0447	clinical expansion term 0447
abbr0448	clinical expansion term 0448
abbr0449	clinical expansion term 0449
abbr0450	clinical expansion term 0450
abbr0451	clinical expansion term 0451
abbr0452	clinical expansion term 0452
abbr0453	clinical expansion term 0453
abbr0454	clinical expansion term 0454
abbr0455	clinical expansion term 0455
abbr0456	clinical expansion term 0456
abbr0457	clinical expansion term 0457
abbr0458	clinical expansion term 0458
abbr0459	clinical expansion term 0459
abbr0460	clinical expansion term 0460
abbr0461	clinical expansion term 0461
abbr0462	clinical expansion term 0462
abbr0463	clinical expansion term 0463
abbr0464	clinical expansion term 0464
abbr0465	clinical expansion term 0465
abbr0466	clinical expansion term 0466
abbr0467	clinical expansion term 0467
abbr0468	clinical expansion term 0468
abbr0469	clinical expansion term 0469
abbr0470	clinical expansion term 0470
abbr0471	clinical expansion term 0471
abbr0472	clinical expansion term 0472
abbr0473	clinical expansion term 0473
abbr0474	clinical expansion term 0474
abbr0475	clinical expansion term 0475
abbr0476	clinical expansion term 0476
abbr0477	clinical expansion term 0477
abbr0478	clinical expansion term 0478
abbr0479	clinical expansion term 0479
abbr0480	clinical expansion term 0480
abbr0481	clinical expansion term 0481
abbr0482	clinical expansion term 0482
abbr0483	clinical expansion term 0483
abbr0484	clinical expansion term 0484
abbr0485	clinical expansion term 0485
abbr0486	clinical expansion term 0486
abbr0487	clinical expansion term 0487
abbr0488	clinical expansion term 0488
abbr0489	clinical expansion term 0489
abbr0490	clinical expansion term 0490
abbr0491	clinical expansion term 0491
abbr0492	clinical expansion term 0492
abbr0493	clinical expansion term 0493
abbr0494	clinical expansion term 0494
abbr0495	clinical expansion term 0495
abbr0496	clinical expansion term 0496
abbr0497	clinical expansion term 0497
abbr0498	clinical expansion term 0498
abbr0499	clinical expansion term 0499
abbr0500	clinical expansion term 0500
abbr0501	clinical expansion term 0501
abbr0502	clinical expansion term 0502
abbr0503	clinical expansion term 0503
abbr0504	clinical expansion term 0504
abbr0505	clinical expansion term 0505
abbr0506	clinical expansion term 0506
abbr0507	clinical expansion term 0507
abbr0508	clinical expansion term 0508
abbr0509	clinical expansion term 0509
abbr0510	clinical expansion term 0510
abbr0511	clinical expansion term 0511
abbr0512	clinical expansion term 0512
abbr0513	clinical expansion term 0513
abbr0514	clinical expansion term 0514
abbr0515	clinical expansion term 0515
abbr0516	clinical expansion term 0516
abbr0517	clinical expansion term 0517
abbr0518	clinical expansion term 0518
abbr0519	clinical expansion term 0519
abbr0520	clinical expansion term 0520
abbr0521	clinical expansion term 0521
abbr0522	clinical expansion term 0522
abbr0523	clinical expansion term 0523
abbr0524	clinical expansion term 0524
abbr0525	clinical expansion term 0525
abbr0526	clinical expansion term 0526
abbr0527	clinical expansion term 0527
abbr0528	clinical expansion term 0528
abbr0529	clinical expansion term 0529
abbr0530	clinical expansion term 0530
abbr0531	clinical expansion term 0531
abbr0532	clinical expansion term 0532
abbr0533	clinical expansion term 0533
abbr0534	clinical expansion term 0534
abbr0535	clinical expansion term 0535
abbr0536	clinical expansion term 0536
abbr0537	clinical expansion term 0537
abbr0538	clinical expansion term 0538
abbr0539	clinical expansion term 0539
abbr0540	clinical expansion term 0540
abbr0541	clinical expansion term 0541
abbr0542	clinical expansion term 0542
abbr0543	clinical expansion term 0543
abbr0544	clinical expansion term 0544
abbr0545	clinical expansion term 0545
abbr0546	clinical expansion term 0546
abbr0547	clinical expansion term 0547
abbr0548	clinical expansion term 0548
abbr0549	clinical expansion term 0549
abbr0550	clinical expansion term 0550
abbr0551	clinical expansion term 0551
abbr0552	clinical expansion term 0552
abbr0553	clinical expansion term 0553
abbr0554	clinical expansion term 0554
abbr0555	clinical expansion term 0555
abbr0556	clinical expansion term 0556
abbr0557	clinical expansion term 0557
abbr0558	clinical expansion term 0558
abbr0559	clinical expansion term 0559
abbr0560	clinical expansion term 0560
abbr0561	clinical expansion term 0561
abbr0562	clinical expansion term 0562
abbr0563	clinical expansion term 0563
abbr0564	clinical expansion term 0564
abbr0565	clinical expansion term 0565
abbr0566	clinical expansion term 0566
abbr0567	clinical expansion term 0567
abbr0568	clinical expansion term 0568
abbr0569	clinical expansion term 0569
abbr0570	clinical expansion term 0570
abbr0571	clinical expansion term 0571
abbr0572	clinical expansion term 0572
abbr0573	clinical expansion term 0573
abbr0574	clinical expansion term 0574
abbr0575	clinical expansion term 0575
abbr0576	clinical expansion term 0576
abbr0577	clinical expansion term 0577
abbr0578	clinical expansion term 0578
abbr0579	clinical expansion term 0579
abbr0580	clinical expansion term 0580
abbr0581	clinical expansion term 0581
abbr0582	clinical expansion term 0582
abbr0583	clinical expansion term 0583
abbr0584	clinical expansion term 0584
abbr0585	clinical expansion term 0585
abbr0586	clinical expansion term 0586
abbr0587	clinical expansion term 0587
abbr0588	clinical expansion term 0588
abbr0589	clinical expansion term 0589
abbr0590	clinical expansion term 0590
abbr0591	clinical expansion term 0591
abbr0592	clinical expansion term 0592
abbr0593	clinical expansion term 0593
abbr0594	clinical expansion term 0594
abbr0595	clinical expansion term 0595
abbr0596	clinical expansion term 0596
abbr0597	clinical expansion term 0597
abbr0598	clinical expansion term 0598
abbr0599	clinical expansion term 0599
abbr0600	clinical expansion term 0600
abbr0601	clinical expansion term 0601
abbr0602	clinical expansion term 0602
abbr0603	clinical expansion term 0603
abbr0604	clinical expansion term 0604
abbr0605	clinical expansion term 0605
abbr0606	clinical expansion term 0606
abbr0607	clinical expansion term 0607
abbr0608	clinical expansion term 0608
abbr0609	clinical expansion term 0609
abbr0610	clinical expansion term 0610
abbr0611	clinical expansion term 0611
abbr0612	clinical expansion term 0612
abbr0613	clinical expansion term 0613
abbr0614	clinical expansion term 0614
abbr0615	clinical expansion term 0615
abbr0616	clinical expansion term 0616
abbr0617	clinical expansion term 0617
abbr0618	clinical expansion term 0618
abbr0619	clinical expansion term 0619
abbr0620	clinical expansion term 0620
abbr0621	clinical expansion term 0621
abbr0622	clinical expansion term 0622
abbr0623	clinical expansion term 0623
abbr0624	clinical expansion term 0624
abbr0625	clinical expansion term 0625
abbr0626	clinical expansion term 0626
abbr0627	clinical expansion term 0627
abbr0628	clinical expansion term 0628
abbr0629	clinical expansion term 0629
abbr0630	clinical expansion term 0630
abbr0631	clinical expansion term 0631
abbr0632	clinical expansion term 0632
abbr0633	clinical expansion term 0633
abbr0634	clinical expansion term 0634
abbr0635	clinical expansion term 0635
abbr0636	clinical expansion term 0636
abbr0637	clinical expansion term 0637
abbr0638	clinical expansion term 0638
abbr0639	clinical expansion term 0639
abbr0640	clinical expansion term 0640
abbr0641	clinical expansion term 0641
abbr0642	clinical expansion term 0642
abbr0643	clinical expansion term 0643
abbr0644	clinical expansion term 0644
abbr0645	clinical expansion term 0645
abbr0646	clinical expansion term 0646
abbr0647	clinical expansion term 0647
abbr0648	clinical expansion term 0648
abbr0649	clinical expansion term 0649
abbr0650	clinical expansion term 0650
abbr0651	clinical expansion term 0651
abbr0652	clinical expansion term 0652
abbr0653	clinical expansion term 0653
abbr0654	clinical expansion term 0654
abbr0655	clinical expansion term 0655
abbr0656	clinical expansion term 0656
abbr0657	clinical expansion term 0657
abbr0658	clinical expansion term 0658
abbr0659	clinical expansion term 0659
abbr0660	clinical expansion term 0660
abbr0661	clinical expansion term 0661
abbr0662	clinical expansion term 0662
abbr0663	clinical expansion term 0663
abbr0664	clinical expansion term 0664
abbr0665	clinical expansion term 0665
abbr0666	clinical expansion term 0666
abbr0667	clinical expansion term 0667
abbr0668	clinical expansion term 0668
abbr0669	clinical expansion term 0669
abbr0670	clinical expansion term 0670
abbr0671	clinical expansion term 0671
abbr0672	clinical expansion term 0672
abbr0673	clinical expansion term 0673
abbr0674	clinical expansion term 0674
abbr0675	clinical expansion term 0675
abbr0676	clinical expansion term 0676
abbr0677	clinical expansion term 0677
abbr0678	clinical expansion term 0678
abbr0679	clinical expansion term 0679
abbr0680	clinical expansion term 0680
abbr0681	clinical expansion term 0681
abbr0682	clinical expansion term 0682
abbr0683	clinical expansion term 0683
abbr0684	clinical expansion term 0684
abbr0685	clinical expansion term 0685
abbr0686	clinical expansion term 0686
abbr0687	clinical expansion term 0687
abbr0688	clinical expansion term 0688
abbr0689	clinical expansion term 0689
abbr0690	clinical expansion term 0690
abbr0691	clinical expansion term 0691
abbr0692	clinical expansion term 0692
abbr0693	clinical expansion term 0693
abbr0694	clinical expansion term 0694
abbr0695	clinical expansion term 0695
abbr0696	clinical expansion term 0696
abbr0697	clinical expansion term 0697
abbr0698	clinical expansion term 0698
abbr0699	clinical expansion term 0699
abbr0700	clinical expansion term 0700
abbr0701	clinical expansion term 0701
abbr0702	clinical expansion term 0702
abbr0703	clinical expansion term 0703
abbr0704	clinical expansion term 0704
abbr0705	clinical expansion term 0705
abbr0706	clinical expansion term 0706
abbr0707	clinical expansion term 0707
abbr0708	clinical expansion term 0708
abbr0709	clinical expansion term 0709
abbr0710	clinical expansion term 0710
abbr0711	clinical expansion term 0711
abbr0712	clinical expansion term 0712
abbr0713	clinical expansion term 0713
abbr0714	clinical expansion term 0714
abbr0715	clinical expansion term 0715
abbr0716	clinical expansion term 0716
abbr0717	clinical expansion term 0717
abbr0718	clinical expansion term 0718
abbr0719	clinical expansion term 0719
abbr0720	clinical expansion term 0720
abbr0721	clinical expansion term 0721
abbr0722	clinical expansion term 0722
abbr0723	clinical expansion term 0723
abbr0724	clinical expansion term 0724
abbr0725	clinical expansion term 0725
abbr0726	clinical expansion term 0726
abbr0727	clinical expansion term 0727
abbr0728	clinical expansion term 0728
abbr0729	clinical expansion term 0729
abbr0730	clinical expansion term 0730
abbr0731	clinical expansion term 0731
abbr0732	clinical expansion term 0732
abbr0733	clinical expansion term 0733
abbr0734	clinical expansion term 0734
abbr0735	clinical expansion term 0735
abbr0736	clinical expansion term 0736
abbr0737	clinical expansion term 0737
abbr0738	clinical expansion term 0738
abbr0739	clinical expansion term 0739
abbr0740	clinical expansion term 0740
abbr0741	clinical expansion term 0741
abbr0742	clinical expansion term 0742
abbr0743	clinical expansion term 0743
abbr0744	clinical expansion term 0744
abbr0745	clinical expansion term 0745
abbr0746	clinical expansion term 0746
abbr0747	clinical expansion term 0747
abbr0748	clinical expansion term 0748
abbr0749	clinical expansion term 0749
abbr0750	clinical expansion term 0750
abbr0751	clinical expansion term 0751
abbr0752	clinical expansion term 0752
abbr0753	clinical expansion term 0753
abbr0754	clinical expansion term 0754
abbr0755	clinical expansion term 0755
abbr0756	clinical expansion term 0756
abbr0757	clinical expansion term 0757
abbr0758	clinical expansion term 0758
abbr0759	clinical expansion term 0759
abbr0760	clinical expansion term 0760
abbr0761	clinical expansion term 0761
abbr0762	clinical expansion term 0762
abbr0763	clinical expansion term 0763
abbr0764	clinical expansion term 0764
abbr0765	clinical expansion term 0765
abbr0766	clinical expansion term 0766
abbr0767	clinical expansion term 0767
abbr0768	clinical expansion term 0768
abbr0769	clinical expansion term 0769
abbr0770	clinical expansion term 0770
abbr0771	clinical expansion term 0771
abbr0772	clinical expansion term 0772
abbr0773	clinical expansion term 0773
abbr0774	clinical expansion term 0774
abbr0775	clinical expansion term 0775
abbr0776	clinical expansion term 0776
abbr0777	clinical expansion term 0777
abbr0778	clinical expansion term 0778
abbr0779	clinical expansion term 0779
abbr0780	clinical expansion term 0780
abbr0781	clinical expansion term 0781
abbr0782	clinical expansion term 0782
abbr0783	clinical expansion term 0783
abbr0784	clinical expansion term 0784
abbr0785	clinical expansion term 0785
abbr0786	clinical expansion term 0786
abbr0787	clinical expansion term 0787
abbr0788	clinical expansion term 0788
abbr0789	clinical expansion term 0789
abbr0790	clinical expansion term 0790
abbr0791	clinical expansion term 0791
abbr0792	clinical expansion term 0792
abbr0793	clinical expansion term 0793
abbr0794	clinical expansion term 0794
abbr0795	clinical expansion term 0795
abbr0796	clinical expansion term 0796
abbr0797	clinical expansion term 0797
abbr0798	clinical expansion term 0798
abbr0799	clinical expansion term 0799
abbr0800	clinical expansion term 0800
abbr0801	clinical expansion term 0801
abbr0802	clinical expansion term 0802
abbr0803	clinical expansion term 0803
abbr0804	clinical expansion term 0804
abbr0805	clinical expansion term 0805
abbr0806	clinical expansion term 0806
abbr0807	clinical expansion term 0807
abbr0808	clinical expansion term 0808
abbr0809	clinical expansion term 0809
abbr0810	clinical expansion term 0810
abbr0811	clinical expansion term 0811
abbr0812	clinical expansion term 0812
abbr0813	clinical expansion term 0813
abbr0814	clinical expansion term 0814
abbr0815	clinical expansion term 0815
abbr0816	clinical expansion term 0816
abbr0817	clinical expansion term 0817
abbr0818	clinical expansion term 0818
