# Medical Abbreviations Dictionary - Clinical NLP Pipeline
# Format: abbreviation<TAB>expansion
# Sources: Standard clinical references, JCAHO Do Not Use list, common EHR abbreviations
# ─── Vital Signs & Measurements ───
hr	heart rate
tnt	troponin t
ua	urinalysis
ucx	urine culture
bcx	blood culture
csf	cerebrospinal fluid
afb	acid fast bacilli
psa	prostate specific antigen
cea	carcinoembryonic antigen
afp	alpha fetoprotein
ca125	cancer antigen 125
tsh	thyroid stimulating hormone
ft4	free thyroxine
ft3	free triiodothyronine
fsh	follicle stimulating hormone
lh	luteinizing hormone
acth	adrenocorticotropic hormone
hcg	human chorionic gonadotropin
ana	antinuclear antibody
rf	rheumatoid factor
anca	anti neutrophil cytoplasmic antibody
# ─── Imaging & Procedures ───
cxr	chest x-ray
xr	x-ray
ct	computed tomography
cta	computed tomography angiography
mri	magnetic resonance imaging
mra	magnetic resonance angiography
us	ultrasound
echo	echocardiogram
tte	transthoracic echocardiogram
tee	transesophageal echocardiogram
ekg	electrocardiogram
ecg	electrocardiogram
eeg	electroencephalogram
emg	electromyography
ncv	nerve conduction velocity
ercp	endoscopic retrograde cholangiopancreatography
egd	esophagogastroduodenoscopy
eus	endoscopic ultrasound
pet	positron emission tomography
spect	single photon emission computed tomography
dexa	dual energy x-ray absorptiometry
mammo	mammography
angio	angiography
fluoro	fluoroscopy
lap	laparoscopy
appy	appendectomy
chole	cholecystectomy
cabg	coronary artery bypass graft
ptca	percutaneous transluminal coronary angioplasty
pci	percutaneous coronary intervention
tavr	transcatheter aortic valve replacement
icd	implantable cardioverter defibrillator
ppm	permanent pacemaker
crt	cardiac resynchronization therapy
evd	external ventricular drain
vps	ventriculoperitoneal shunt
tha	total hip arthroplasty
tka	total knee arthroplasty
orif	open reduction internal fixation
picc	peripherally inserted central catheter
cvc	central venous catheter
ng	nasogastric
ngt	nasogastric tube
peg	percutaneous endoscopic gastrostomy
trach	tracheostomy
intub	intubation
extub	extubation
bronch	bronchoscopy
lp	lumbar puncture
thora	thoracentesis
para	paracentesis
# ─── Anatomical ───
le	lower extremity
ue	upper extremity
bil	bilateral
rul	right upper lobe
rml	right middle lobe
rll	right lower lobe
lul	left upper lobe
lll	left lower lobe
ruq	right upper quadrant
rlq	right lower quadrant
luq	left upper quadrant
llq	left lower quadrant
ant	anterior
post	posterior
lat	lateral
med	medial
prox	proximal
dist	distal
sup	superior
inf	inferior
# ─── Diagnoses & Conditions ───
gerd	gastroesophageal reflux disease
ibs	irritable bowel syndrome
ibd	inflammatory bowel disease
uc	ulcerative colitis
sbo	small bowel obstruction
lbo	large bowel obstruction
bph	benign prostatic hyperplasia
uti	urinary tract infection
uri	upper respiratory infection
lri	lower respiratory infection
cap	community acquired pneumonia
hap	hospital acquired pneumonia
vap	ventilator associated pneumonia
ards	acute respiratory distress syndrome
osa	obstructive sleep apnea
pna	pneumonia
tb	tuberculosis
hiv	human immunodeficiency virus
aids	acquired immunodeficiency syndrome
hcv	hepatitis c virus
hbv	hepatitis b virus
hav	hepatitis a virus
nafld	non alcoholic fatty liver disease
nash	non alcoholic steatohepatitis
etoh	alcohol
ams	altered mental status
loc	loss of consciousness
sz	seizure
gcs	glasgow coma scale
tbi	traumatic brain injury
ich	intracerebral hemorrhage
sah	subarachnoid hemorrhage
sdh	subdural hematoma
edh	epidural hematoma
ms	multiple sclerosis
als	amyotrophic lateral sclerosis
pd	parkinson disease
oa	osteoarthritis
ra	rheumatoid arthritis
sle	systemic lupus erythematosus
dka	diabetic ketoacidosis
hhs	hyperosmolar hyperglycemic state
pcos	polycystic ovary syndrome
ca	cancer
mets	metastasis
aml	acute myeloid leukemia
cml	chronic myeloid leukemia
cll	chronic lymphocytic leukemia
nhl	non hodgkin lymphoma
hl	hodgkin lymphoma
mm	multiple myeloma
nsclc	non small cell lung cancer
sclc	small cell lung cancer
hcc	hepatocellular carcinoma
rcc	renal cell carcinoma
crc	colorectal cancer
scc	squamous cell carcinoma
bcc	basal cell carcinoma
ida	iron deficiency anemia
dic	disseminated intravascular coagulation
itp	immune thrombocytopenic purpura
ttp	thrombotic thrombocytopenic purpura
hus	hemolytic uremic syndrome
mrsa	methicillin resistant staphylococcus aureus
vre	vancomycin resistant enterococcus
cdiff	clostridioides difficile infection
aaa	abdominal aortic aneurysm
pvd	peripheral vascular disease
pad	peripheral arterial disease
mvp	mitral valve prolapse
hocm	hypertrophic obstructive cardiomyopathy
dcm	dilated cardiomyopathy
# ─── ICU & Critical Care ───
icu	intensive care unit
micu	medical intensive care unit
sicu	surgical intensive care unit
ccu	coronary care unit
nicu	neonatal intensive care unit
picu	pediatric intensive care unit
pacu	post anesthesia care unit
er	emergency room
ed	emergency department
or	operating room
apache	acute physiology and chronic health evaluation
sofa	sequential organ failure assessment
mews	modified early warning score
news	national early warning score
acls	advanced cardiac life support
bls	basic life support
pals	pediatric advanced life support
cpr	cardiopulmonary resuscitation
rosc	return of spontaneous circulation
vent	ventilator
mv	mechanical ventilation
niv	non invasive ventilation
bipap	bilevel positive airway pressure
cpap	continuous positive airway pressure
hfnc	high flow nasal cannula
nc	nasal cannula
nrb	non rebreather mask
fio2	fraction of inspired oxygen
peep	positive end expiratory pressure
tv	tidal volume
simv	synchronized intermittent mandatory ventilation
ps	pressure support
ett	endotracheal tube
lma	laryngeal mask airway
# ─── Medications & Drug Classes ───
abx	antibiotics
nsaid	nonsteroidal anti inflammatory drug
nsaids	nonsteroidal anti inflammatory drugs
ppi	proton pump inhibitor
h2b	h2 receptor blocker
arb	angiotensin receptor blocker
acei	angiotensin converting enzyme inhibitor
ccb	calcium channel blocker
bb	beta blocker
statin	hmg coa reductase inhibitor
asa	aspirin
hctz	hydrochlorothiazide
lasix	furosemide
coumadin	warfarin
lovenox	enoxaparin
plavix	clopidogrel
tpa	tissue plasminogen activator
epi	epinephrine
levo	levofloxacin
vanco	vancomycin
zosyn	piperacillin tazobactam
flagyl	metronidazole
bactrim	trimethoprim sulfamethoxazole
doxy	doxycycline
amox	amoxicillin
augmentin	amoxicillin clavulanate
azithro	azithromycin
cipro	ciprofloxacin
pcn	penicillin
gent	gentamicin
tobra	tobramycin
diflucan	fluconazole
keflex	cephalexin
dilt	diltiazem
amio	amiodarone
lido	lidocaine
nitro	nitroglycerin
dilaudid	hydromorphone
norco	hydrocodone acetaminophen
percocet	oxycodone acetaminophen
tylenol	acetaminophen
motrin	ibuprofen
toradol	ketorolac
zofran	ondansetron
reglan	metoclopramide
ativan	lorazepam
versed	midazolam
haldol	haloperidol
norepi	norepinephrine
vaso	vasopressin
dopa	dopamine
dobu	dobutamine
phenyl	phenylephrine
prbc	packed red blood cells
ffp	fresh frozen plasma
cryo	cryoprecipitate
txa	tranexamic acid
dexa	dexamethasone
pred	prednisone
hydrocort	hydrocortisone
protonix	pantoprazole
nexium	esomeprazole
prilosec	omeprazole
pepcid	famotidine
colace	docusate
miralax	polyethylene glycol
dulcolax	bisacodyl
narcan	naloxone
# ─── Clinical Status & Descriptors ───
nkda	no known drug allergies
nka	no known allergies
nad	no acute distress
wnl	within normal limits
wdwn	well developed well nourished
aox3	alert and oriented times three
perrla	pupils equal round reactive to light and accommodation
eomi	extraocular muscles intact
ctab	clear to auscultation bilaterally
rrr	regular rate and rhythm
ntnd	nontender nondistended
bilat	bilateral
rom	range of motion
dtrs	deep tendon reflexes
# ─── Discharge & Care Planning ───
snf	skilled nursing facility
ltach	long term acute care hospital
rehab	rehabilitation
ama	against medical advice
dnr	do not resuscitate
dni	do not intubate
cmo	comfort measures only
vna	visiting nurse association
ot	occupational therapy
slp	speech language pathology
sw	social work
cm	case management
pcp	primary care physician
# ─── OB/GYN ───
ob	obstetrics
gyn	gynecology
lmp	last menstrual period
edd	estimated date of delivery
ga	gestational age
nsvd	normal spontaneous vaginal delivery
vbac	vaginal birth after cesarean
pph	postpartum hemorrhage
pih	pregnancy induced hypertension
gdm	gestational diabetes mellitus
hellp	hemolysis elevated liver enzymes low platelets
nst	nonstress test
bpp	biophysical profile
afi	amniotic fluid index
# ─── Pediatrics ───
peds	pediatrics
neo	neonatology
lga	large for gestational age
sga	small for gestational age
aga	appropriate for gestational age
apgar	appearance pulse grimace activity respiration
rds	respiratory distress syndrome
nec	necrotizing enterocolitis
bpd	bronchopulmonary dysplasia
rop	retinopathy of prematurity
ivh	intraventricular hemorrhage
pvl	periventricular leukomalacia
pda	patent ductus arteriosus
vsd	ventricular septal defect
asd	atrial septal defect
tof	tetralogy of fallot
# ─── Psychiatry ───
mdd	major depressive disorder
gad	generalized anxiety disorder
ptsd	post traumatic stress disorder
ocd	obsessive compulsive disorder
adhd	attention deficit hyperactivity disorder
si	suicidal ideation
hi	homicidal ideation
# ─── Orthopedics ───
acl	anterior cruciate ligament
pcl	posterior cruciate ligament
mcl	medial collateral ligament
lcl	lateral collateral ligament
ddd	degenerative disc disease
djd	degenerative joint disease
lbp	low back pain
cts	carpal tunnel syndrome
rct	rotator cuff tear
# ─── Oncology ───
chemo	chemotherapy
xrt	radiation therapy
bmt	bone marrow transplant
cis	carcinoma in situ
tnm	tumor node metastasis staging
ecog	eastern cooperative oncology group
kps	karnofsky performance status
cr	complete response
pfs	progression free survival
dfs	disease free survival
orr	overall response rate
# ─── Infectious Disease ───
mssa	methicillin sensitive staphylococcus aureus
esbl	extended spectrum beta lactamase
cre	carbapenem resistant enterobacteriaceae
mdro	multi drug resistant organism
haart	highly active antiretroviral therapy
art	antiretroviral therapy
ltbi	latent tuberculosis infection
ppd	purified protein derivative
igra	interferon gamma release assay
cmv	cytomegalovirus
ebv	epstein barr virus
hsv	herpes simplex virus
vzv	varicella zoster virus
rsv	respiratory syncytial virus
# ─── Nephrology ───
hd	hemodialysis
crrt	continuous renal replacement therapy
avf	arteriovenous fistula
avg	arteriovenous graft
# ─── Pulmonology ───
pft	pulmonary function test
fev1	forced expiratory volume in 1 second
fvc	forced vital capacity
dlco	diffusing capacity of lung for carbon monoxide
bal	bronchoalveolar lavage
ild	interstitial lung disease
ipf	idiopathic pulmonary fibrosis
pah	pulmonary arterial hypertension
# ─── Gastroenterology ───
colo	colonoscopy
mrcp	magnetic resonance cholangiopancreatography
pud	peptic ulcer disease
tips	transjugular intrahepatic portosystemic shunt
meld	model for end stage liver disease
# ─── Endocrinology ───
a1c	hemoglobin a1c
ogtt	oral glucose tolerance test
cgm	continuous glucose monitoring
csii	continuous subcutaneous insulin infusion
mdi	multiple daily injections
rai	radioactive iodine
fna	fine needle aspiration
# ─── Cardiology Extended ───
ef	ejection fraction
lvef	left ventricular ejection fraction
rwma	regional wall motion abnormality
lv	left ventricle
rv	right ventricle
la	left atrium
avr	aortic valve replacement
mvr	mitral valve replacement
rfca	radiofrequency catheter ablation
rhc	right heart catheterization
lhc	left heart catheterization
# ─── Emergency Medicine ───
ems	emergency medical services
mva	motor vehicle accident
mvc	motor vehicle collision
gsw	gunshot wound
fast	focused assessment with sonography in trauma
atls	advanced trauma life support
rsi	rapid sequence intubation
lac	laceration
# ─── Nutrition ───
npo	nothing by mouth
tpn	total parenteral nutrition
pn	parenteral nutrition
en	enteral nutrition
kcal	kilocalories
# ─── Pain Management ───
nrs	numeric rating scale
vas	visual analog scale
pca	patient controlled analgesia
tca	tricyclic antidepressant
snri	serotonin norepinephrine reuptake inhibitor
ssri	selective serotonin reuptake inhibitor
mme	morphine milligram equivalent
# ─── Documentation ───
yo	year old
mrn	medical record number
dos	date of service
dob	date of birth
phi	protected health information
hipaa	health insurance portability and accountability act
ehr	electronic health record
emr	electronic medical record
adl	activities of daily living
iadl	instrumental activities of daily living
mmse	mini mental state examination
moca	montreal cognitive assessment
phq9	patient health questionnaire 9
gad7	generalized anxiety disorder 7
# ─── Miscellaneous ───
stat	immediately
asap	as soon as possible
wrt	with respect to
qtc	corrected qt interval
tbsa	total body surface area
los	length of stay
